Date,ConnType,Lat,Lon,Download,Upload,Latency,ServerName,InternalIp,ExternalIp
"2016-06-22 06:33","Wifi","47.67380","-122.34190",35.19,38.32,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-22 04:42","Wifi","47.67380","-122.34190",66.20,72.22,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-21 20:09","Wifi","47.67380","-122.34190",92.43,96.46,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-21 06:31","Wifi","47.67380","-122.34190",60.12,47.93,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-21 05:49","Wifi","47.67380","-122.34190",93.91,87.61,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-20 22:22","Wifi","47.67380","-122.34190",91.80,97.90,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-20 17:21","Wifi","47.67380","-122.34190",47.17,56.45,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-20 06:33","Wifi","47.67380","-122.34190",34.12,55.50,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-19 22:36","Wifi","47.67380","-122.34190",71.72,91.43,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-19 20:22","Wifi","47.67380","-122.34190",81.71,80.89,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-19 11:14","Wifi","47.67380","-122.34190",58.23,52.99,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-19 08:10","Wifi","47.67380","-122.34190",77.58,76.77,4,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-18 21:08","Wifi","47.67380","-122.34190",14.88,10.62,7,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-18 20:15","Wifi","47.67380","-122.34190",70.69,89.66,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-18 17:12","Wifi","47.67380","-122.34190",53.74,56.26,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-18 15:51","Wifi","47.67380","-122.34190",58.74,64.83,5,"Seattle, WA","192.168.53.229","71.37.47.22"
"2016-06-18 11:14","Wifi","47.67380","-122.34190",38.27,38.12,4,"Seattle, WA","192.168.53.229","71.37.47.22"
